op;description;addressing;assembler;op code;bytes;cycles;
ADC;Add Memory to Accumulator with Carry;immediate;ADC #oper;69;2;2;
ADC;Add Memory to Accumulator with Carry;zeropage;ADC oper;65;2;3;
ADC;Add Memory to Accumulator with Carry;zeropage,X;ADC oper,X;75;2;4;
ADC;Add Memory to Accumulator with Carry;absolute;ADC oper;6D;3;4;
ADC;Add Memory to Accumulator with Carry;absolute,X;ADC oper,X;7D;3;4;
ADC;Add Memory to Accumulator with Carry;absolute,Y;ADC oper,Y;79;3;4;
ADC;Add Memory to Accumulator with Carry;(indirect,X);ADC (oper,X);61;2;6;
ADC;Add Memory to Accumulator with Carry;(indirect),Y;ADC (oper),Y;71;2;5;
AND;AND Memory with Accumulator;immediate;AND #oper;29;2;2;
AND;AND Memory with Accumulator;zeropage;AND oper;25;2;3;
AND;AND Memory with Accumulator;zeropage,X;AND oper,X;35;2;4;
AND;AND Memory with Accumulator;absolute;AND oper;2D;3;4;
AND;AND Memory with Accumulator;absolute,X;AND oper,X;3D;3;4;
AND;AND Memory with Accumulator;absolute,Y;AND oper,Y;39;3;4;
AND;AND Memory with Accumulator;(indirect,X);AND (oper,X);21;2;6;
AND;AND Memory with Accumulator;(indirect),Y;AND (oper),Y;31;2;5;
ASL;Shift Left One Bit;accumulator;ASL A;0A;1;2;
ASL;Shift Left One Bit;zeropage;ASL oper;6;2;5;
ASL;Shift Left One Bit;zeropage,X;ASL oper,X;16;2;6;
ASL;Shift Left One Bit;absolute;ASL oper;0E;3;6;
ASL;Shift Left One Bit;absolute,X;ASL oper,X;1E;3;7;
BCC;Branch on Carry Clear;relative;BCC oper;90;2;2;
BCS;Branch on Carry Set;relative;BCS oper;B0;2;2;
BEQ;Branch on Result Zero;relative;BEQ oper;F0;2;2;
BIT;Test Bits in Memory with Accumulator;zeropage;BIT oper;24;2;3;
BIT;Test Bits in Memory with Accumulator;absolute;BIT oper;2C;3;4;
BMI;Branch on Result Minus;relative;BMI oper;30;2;2;
BNE;Branch on Result not Zero;relative;BNE oper;D0;2;2;
BPL;Branch on Result Plus;relative;BPL oper;10;2;2;
BRK;Force Break;implied;BRK;0;1;7;
BVC;Branch on Overflow Clear;relative;BVC oper;50;2;2;
BVS;Branch on Overflow Set;relative;BVS oper;70;2;2;
CLC;Clear Carry Flag;implied;CLC;18;1;2;
CLD;Clear Decimal Mode;implied;CLD;D8;1;2;
CLI;Clear Interrupt Disable Bit;implied;CLI;58;1;2;
CLV;Clear Overflow Flag;implied;CLV;B8;1;2;
CMP;Compare Memory with Accumulator;immediate;CMP #oper;C9;2;2;
CMP;Compare Memory with Accumulator;zeropage;CMP oper;C5;2;3;
CMP;Compare Memory with Accumulator;zeropage,X;CMP oper,X;D5;2;4;
CMP;Compare Memory with Accumulator;absolute;CMP oper;CD;3;4;
CMP;Compare Memory with Accumulator;absolute,X;CMP oper,X;DD;3;4;
CMP;Compare Memory with Accumulator;absolute,Y;CMP oper,Y;D9;3;4;
CMP;Compare Memory with Accumulator;(indirect,X);CMP (oper,X);C1;2;6;
CMP;Compare Memory with Accumulator;(indirect),Y;CMP (oper),Y;D1;2;5;
CPX;Compare Memory and Index X;immediate;CPX #oper;E0;2;2;
CPX;Compare Memory and Index X;zeropage;CPX oper;E4;2;3;
CPX;Compare Memory and Index X;absolute;CPX oper;EC;3;4;
CPY;Compare Memory and Index Y;immediate;CPY #oper;C0;2;2;
CPY;Compare Memory and Index Y;zeropage;CPY oper;C4;2;3;
CPY;Compare Memory and Index Y;absolute;CPY oper;CC;3;4;
DEC;Decrement Memory by One;zeropage;DEC oper;C6;2;5;
DEC;Decrement Memory by One;zeropage,X;DEC oper,X;D6;2;6;
DEC;Decrement Memory by One;absolute;DEC oper;CE;3;6;
DEC;Decrement Memory by One;absolute,X;DEC oper,X;DE;3;7;
DEX;Decrement Index X by One;implied;DEX;CA;1;2;
DEY;Decrement Index Y by One;implied;DEY;88;1;2;
EOR;Exclusive-OR Memory with Accumulator;immediate;EOR #oper;49;2;2;
EOR;Exclusive-OR Memory with Accumulator;zeropage;EOR oper;45;2;3;
EOR;Exclusive-OR Memory with Accumulator;zeropage,X;EOR oper,X;55;2;4;
EOR;Exclusive-OR Memory with Accumulator;absolute;EOR oper;4D;3;4;
EOR;Exclusive-OR Memory with Accumulator;absolute,X;EOR oper,X;5D;3;4;
EOR;Exclusive-OR Memory with Accumulator;absolute,Y;EOR oper,Y;59;3;4;
EOR;Exclusive-OR Memory with Accumulator;(indirect,X);EOR (oper,X);41;2;6;
EOR;Exclusive-OR Memory with Accumulator;(indirect),Y;EOR (oper),Y;51;2;5;
INC;Increment Memory by One;zeropage;INC oper;E6;2;5;
INC;Increment Memory by One;zeropage,X;INC oper,X;F6;2;6;
INC;Increment Memory by One;absolute;INC oper;EE;3;6;
INC;Increment Memory by One;absolute,X;INC oper,X;FE;3;7;
INX;Increment Index X by One;implied;INX;E8;1;2;
INY;Increment Index Y by One;implied;INY;C8;1;2;
JMP;Jump to New Location;absolute;JMP oper;4C;3;3;
JMP;Jump to New Location;indirect;JMP (oper);6C;3;5;
JSR;Jump to New Location Saving Return Address;absolute;JSR oper;20;3;6;
LDA;Load Accumulator with Memory;immediate;LDA #oper;A9;2;2;
LDA;Load Accumulator with Memory;zeropage;LDA oper;A5;2;3;
LDA;Load Accumulator with Memory;zeropage,X;LDA oper,X;B5;2;4;
LDA;Load Accumulator with Memory;absolute;LDA oper;AD;3;4;
LDA;Load Accumulator with Memory;absolute,X;LDA oper,X;BD;3;4;
LDA;Load Accumulator with Memory;absolute,Y;LDA oper,Y;B9;3;4;
LDA;Load Accumulator with Memory;(indirect,X);LDA (oper,X);A1;2;6;
LDA;Load Accumulator with Memory;(indirect),Y;LDA (oper),Y;B1;2;5;
LDX;Load Index X with Memory;immediate;LDX #oper;A2;2;2;
